timestamp_ms,pump_power_pct,pressure_bar,pressure_bar_raw
51830,50,6.040,4.826
51880,50,6.315,6.763
51930,50,6.170,4.437
51980,50,6.089,4.892
52030,50,6.358,6.786
52080,50,6.218,4.522
52130,50,6.132,4.897
52180,50,6.321,6.472
52230,50,6.435,6.327
52280,50,6.333,4.967
52330,50,6.223,4.789
52380,50,6.204,5.534
52430,50,6.117,4.878
52480,50,5.926,3.800
52530,50,6.277,6.988
52580,50,6.234,5.366
52630,50,6.139,4.826
52680,50,6.373,6.678
52730,50,6.244,4.644
52780,50,6.153,4.883
52830,50,6.277,6.205
52880,50,6.345,6.078
52930,50,6.251,4.953
52980,50,6.112,4.423
53030,50,6.060,5.117
53080,50,5.972,4.723
53130,50,5.906,4.841
53180,50,6.217,6.791
53230,50,6.089,4.494
53280,50,6.016,4.897
53330,50,6.229,6.463
53380,50,6.363,6.322
53430,50,6.266,4.939
53480,50,6.193,5.070
53530,50,6.199,5.722
53580,50,6.106,4.812
53630,50,6.023,4.817
53680,50,5.924,4.578
53730,50,5.983,5.684
53780,50,5.918,4.869
53830,50,6.202,6.678
53880,50,6.424,6.688
53930,50,6.314,4.878
53980,50,6.423,6.299
54030,50,6.483,6.191
54080,50,6.373,4.934
54130,50,6.258,4.780
54180,50,6.231,5.497
54230,50,6.132,4.794
54280,50,6.050,4.845
54330,50,5.923,4.344
54380,50,6.018,5.844
54430,50,5.952,4.887
54480,50,6.240,6.735
54530,50,6.439,6.622
54580,50,6.329,4.897
54630,50,6.398,6.135
54680,50,6.452,6.139
54730,50,6.348,4.962
54780,50,6.203,4.465
54830,50,6.155,5.244
54880,50,6.060,4.751
54930,50,5.984,4.841
54980,50,5.834,4.048
55030,50,5.754,4.578
55080,50,5.705,4.784
55130,50,5.984,6.444
55180,50,5.901,4.700
55230,50,5.845,4.859
55280,50,5.963,5.872
55330,50,6.019,5.713
55380,50,5.958,4.939
55430,50,5.820,4.137
55480,50,5.763,4.784
55530,50,5.736,5.005
55580,50,5.522,3.200
55630,50,5.411,3.964
55680,50,5.472,5.183
55730,50,5.453,4.784
55780,50,5.741,6.233
55830,50,5.688,4.742
55880,50,5.653,4.850
55930,50,5.763,5.642
55980,50,5.799,5.422
56030,50,5.764,4.972
56080,50,5.600,3.697
56130,50,5.541,4.536
56180,50,5.498,4.634
56230,50,5.477,4.803
56280,50,5.877,6.753
56330,50,5.791,4.559
56380,50,5.749,4.887
56430,50,5.972,6.242
56480,50,6.136,6.200
56530,50,6.063,4.939
56580,50,5.953,4.517
56630,50,5.926,5.192
56680,50,5.854,4.747
56730,50,5.797,4.812
56780,50,5.670,4.086
56830,50,5.824,5.853
56880,50,5.774,4.850
56930,50,6.130,6.857
56980,50,6.345,6.585
57030,50,6.249,4.930
57080,50,6.285,5.909
57130,50,6.296,5.834
57180,50,6.206,4.934
57230,50,6.048,4.203
57280,50,5.972,4.822
57330,50,5.890,4.695
57380,50,5.671,3.303
57430,50,5.554,4.058
57480,50,5.501,4.550
57530,50,5.480,4.803
57580,50,5.789,6.350
57630,50,5.728,4.709
57680,50,5.688,4.850
57730,50,5.785,5.619
57780,50,5.763,5.075
57830,50,5.721,4.859
57880,50,5.677,4.803
57930,50,5.628,4.709
57980,50,5.614,5.000
58030,50,5.394,3.012
58080,50,5.284,3.847
58130,50,5.256,4.522
58180,50,5.604,6.303
58230,50,5.888,6.364
58280,50,5.855,5.075
58330,50,5.827,5.084
58380,0,5.897,5.638
58430,0,5.847,4.930
58480,0,5.784,4.742
58530,0,5.721,4.681
58580,0,5.660,4.644
58630,0,5.598,4.573
58680,0,5.545,4.587
58730,0,5.494,4.559
58780,0,5.448,4.559
58830,0,5.405,4.540
58880,0,5.365,4.522
58930,0,5.329,4.517
58980,0,5.296,4.522
59030,0,5.265,4.503
59080,0,5.237,4.494
59130,0,5.212,4.503
59180,0,5.191,4.512
59230,0,5.164,4.433
59280,0,5.146,4.494
59330,0,5.131,4.498
59380,0,5.116,4.494
59430,0,5.102,4.484
59480,0,5.089,4.475
59530,0,5.080,4.498
59580,0,5.070,4.484
59630,0,5.062,4.494
59680,0,5.053,4.484
59730,0,5.047,4.494
59780,0,5.042,4.494
59830,0,5.036,4.489
59880,0,5.031,4.484
59930,0,5.028,4.503
59980,0,5.023,4.484
60030,0,5.019,4.480
60080,0,5.016,4.498
60130,0,5.016,4.512
60180,0,5.015,4.508
60230,0,5.012,4.484
60280,0,5.010,4.494
60330,0,5.007,4.484
60380,0,5.004,4.475
60430,0,5.002,4.484
60480,0,5.000,4.489
60530,0,4.999,4.489
60580,0,5.000,4.503
60630,0,5.001,4.503
60680,0,4.999,4.484
60730,0,4.998,4.489
60780,0,4.997,4.494
60830,0,4.996,4.484
60880,0,4.994,4.475
60930,0,4.993,4.489
60980,0,4.993,4.494
61030,0,4.994,4.498
61080,0,4.994,4.494
61130,0,4.993,4.484
61180,0,4.995,4.503
61230,0,4.992,4.461
61280,0,4.992,4.494
61330,0,4.991,4.484
61380,0,4.990,4.475
61430,0,4.992,4.498
61480,0,4.991,4.484
61530,0,4.990,4.484
61580,0,4.989,4.484
61630,0,4.990,4.494
61680,0,4.990,4.489
61730,0,4.990,4.489
61780,0,4.969,4.287
61830,0,4.943,4.226
61880,0,4.925,4.269
61930,0,4.912,4.297
61980,0,4.904,4.344
62030,0,4.900,4.367
62080,0,4.899,4.386
62130,0,4.903,4.419
62180,0,4.911,4.437
62230,0,4.930,4.494
62280,0,4.947,4.508
62330,0,4.964,4.522
62380,0,4.983,4.550
62430,0,5.006,4.583
62480,0,5.035,4.634
62530,0,5.063,4.662
62580,0,5.087,4.667
62630,0,5.113,4.705
62680,0,5.141,4.737
62730,0,5.165,4.747
62780,0,5.194,4.794
62830,0,5.221,4.812
62880,0,5.252,4.859
62930,0,5.279,4.873
62980,0,5.303,4.887
63030,0,5.335,4.944
63080,0,5.370,4.991
63130,0,5.403,5.019
63180,0,5.434,5.037
63230,0,5.468,5.084
63280,0,5.494,5.084
63330,0,5.523,5.122
63380,0,5.551,5.150
63430,0,5.583,5.192
63480,0,5.619,5.244
63530,0,5.658,5.291
63580,0,5.690,5.300
63630,0,5.722,5.333
63680,0,5.750,5.347
63730,0,5.789,5.422
63780,0,5.818,5.417
63830,0,5.850,5.459
63880,0,5.881,5.488
63930,0,5.915,5.534
63980,0,5.954,5.586
64030,0,5.987,5.600
64080,0,6.022,5.642
64130,0,6.058,5.684
64180,0,6.091,5.703
64230,0,6.120,5.722
64280,0,6.158,5.788
64330,0,6.196,5.825
64380,0,6.229,5.844
64430,0,6.265,5.891
64480,0,6.299,5.914
64530,0,6.332,5.947
64580,0,6.364,5.975
64630,0,6.404,6.041
64680,0,6.437,6.050
64730,0,6.471,6.088
64780,0,6.509,6.139
64830,0,6.543,6.163
64880,0,6.581,6.210
64930,0,6.615,6.233
64980,0,6.650,6.271
65030,0,6.687,6.313
65080,0,6.723,6.350
65130,0,6.760,6.388
65180,0,6.788,6.383
65230,0,6.822,6.439
65280,0,6.854,6.463
65330,0,6.887,6.500
65380,0,6.919,6.528
65430,0,6.957,6.589
65480,0,6.990,6.603
65530,0,7.026,6.650
65580,0,7.071,6.725
65630,0,7.108,6.735
65680,0,7.140,6.753
65730,0,7.176,6.800
65780,0,7.212,6.833
65830,0,7.238,6.828
65880,0,7.275,6.903
65930,0,7.313,6.941
65980,0,7.346,6.960
66030,0,7.381,7.002
66080,0,7.422,7.063
66130,0,7.454,7.063
66180,0,7.491,7.119
66230,0,7.526,7.147
66280,0,7.562,7.185
66330,0,7.594,7.204
66380,0,7.627,7.241
66430,0,7.661,7.279
66480,0,7.692,7.297
66530,0,7.730,7.363
